
> reprolab-frontend@0.1.0 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3002
- Network:       http://10.241.76.211:3002
✓ Ready in 637ms

 GET /api/demo/runs/prj_09047604e591d969/clusters 200 in 69ms (next.js: 22ms, proxy.ts: 8ms, application-code: 39ms)
 GET /api/demo/runs/prj_09047604e591d969/leaf-scores 404 in 76ms (next.js: 37ms, proxy.ts: 8ms, application-code: 31ms)
 GET /api/demo/runs/prj_09047604e591d969/repair-iterations 200 in 80ms (next.js: 51ms, proxy.ts: 8ms, application-code: 21ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 84ms (next.js: 34ms, proxy.ts: 16ms, application-code: 34ms)
 GET /api/demo/runs/prj_09047604e591d969/leaf-scores 404 in 84ms (next.js: 35ms, proxy.ts: 18ms, application-code: 31ms)
 GET /api/demo/runs/prj_09047604e591d969/clusters 200 in 86ms (next.js: 38ms, proxy.ts: 18ms, application-code: 30ms)
 GET /api/demo/runs/prj_09047604e591d969/repair-iterations 200 in 94ms (next.js: 40ms, proxy.ts: 19ms, application-code: 35ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 96ms (next.js: 51ms, proxy.ts: 18ms, application-code: 27ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 21ms (next.js: 6ms, proxy.ts: 5ms, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 21ms (next.js: 8ms, proxy.ts: 4ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 26ms (next.js: 11ms, proxy.ts: 4ms, application-code: 11ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 34ms (next.js: 15ms, proxy.ts: 4ms, application-code: 14ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 16ms (next.js: 5ms, proxy.ts: 3ms, application-code: 8ms)
 GET /api/demo/events?projectId=prj_09047604e591d969 200 in 2.9s (next.js: 17ms, proxy.ts: 16ms, application-code: 2.9s)
 GET /lab?projectId=prj_09047604e591d969 200 in 64ms (next.js: 4ms, application-code: 61ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 109ms (next.js: 23ms, proxy.ts: 17ms, application-code: 70ms)
 GET /api/demo/runs/prj_09047604e591d969/clusters 200 in 115ms (next.js: 35ms, proxy.ts: 15ms, application-code: 64ms)
 GET /api/demo/runs/prj_09047604e591d969/leaf-scores 404 in 119ms (next.js: 47ms, proxy.ts: 15ms, application-code: 57ms)
 GET /api/demo/runs/prj_09047604e591d969/repair-iterations 200 in 123ms (next.js: 63ms, proxy.ts: 15ms, application-code: 46ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 134ms (next.js: 81ms, proxy.ts: 11ms, application-code: 43ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 51ms (next.js: 10ms, proxy.ts: 14ms, application-code: 27ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 54ms (next.js: 18ms, proxy.ts: 13ms, application-code: 22ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 56ms (next.js: 28ms, proxy.ts: 13ms, application-code: 15ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 27ms (next.js: 12ms, proxy.ts: 4ms, application-code: 11ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 27ms (next.js: 13ms, proxy.ts: 3ms, application-code: 11ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 16ms (next.js: 5ms, proxy.ts: 3ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 24ms (next.js: 11ms, proxy.ts: 3ms, application-code: 10ms)
 GET /lab?projectId=prj_4c0368d9d5194b41 200 in 73ms (next.js: 4ms, application-code: 70ms)
 GET /api/demo/events?projectId=prj_09047604e591d969 200 in 5.2s (next.js: 4ms, proxy.ts: 4ms, application-code: 5.2s)
 GET /api/demo/runs/prj_4c0368d9d5194b41/runpod-status 200 in 90ms (next.js: 20ms, proxy.ts: 10ms, application-code: 59ms)
 GET /api/demo/runs/prj_4c0368d9d5194b41/clusters 200 in 93ms (next.js: 34ms, proxy.ts: 10ms, application-code: 50ms)
 GET /api/demo/runs/prj_4c0368d9d5194b41/leaf-scores 404 in 99ms (next.js: 48ms, proxy.ts: 10ms, application-code: 42ms)
 GET /api/demo/runs/prj_4c0368d9d5194b41/repair-iterations 200 in 117ms (next.js: 67ms, proxy.ts: 11ms, application-code: 40ms)
 GET /api/demo/runs/prj_4c0368d9d5194b41/reports 200 in 136ms (next.js: 118ms, proxy.ts: 8ms, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 24ms (next.js: 13ms, proxy.ts: 2ms, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 23ms (next.js: 12ms, proxy.ts: 3ms, application-code: 8ms)
 GET /lab?projectId=prj_09047604e591d969 200 in 60ms (next.js: 3ms, application-code: 58ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 29ms (next.js: 13ms, proxy.ts: 7ms, application-code: 10ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 86ms (next.js: 25ms, proxy.ts: 14ms, application-code: 47ms)
 GET /api/demo/runs/prj_09047604e591d969/clusters 200 in 89ms (next.js: 38ms, proxy.ts: 14ms, application-code: 37ms)
